Cycle Pair,Battery ID,Charge_Ah,Discharge_Ah,Initial Discharge_Ah,Charge_Wh,Discharge_Wh,Charge Duration_Sec,Discharge Duration_Sec,Average_Charge_Voltage,Average_Discharge_Voltage,Voltage Hysteresis,Ambient Temperature,Max Charge Temperature,Max Discharge Temperature,Charge_Tempaerature_Rise_Rate,Discharge_Tempaerature_Rise_Rate,Coulombic_Efficiency_Ah,Energy_Efficiency_Wh,SOH,Capacity_Fade,Cycle Status
1,B0054,1.5558443041400964,1.2847845483441092,1.2847845483441092,6.518186745297193,4.053116679897817,10799.796999999999,2289.563,4.194742163773547,3.154699395598207,1.0400427681753404,4,8.593679080006812,19.081770387807392,1.7956267975242405e-05,0.006016018459239121,82.57796393413543,62.18165938283528,91.45142468004053,,Valid
2,B0054,1.3461556576051534,1.2085033833779102,1.2847845483441092,5.634790205690327,3.8623869202468493,10802.109,2152.922,4.194229406484902,3.1960791484275077,0.998150258057394,4,10.268800332573164,18.94807142304864,-0.00038413287071691803,0.005888781377155951,89.77441624602832,68.54535447205106,86.02170401488846,5.429720665152075,Valid
3,B0054,1.2279901833008489,1.5054022801695495,1.2847845483441092,5.145108426520906,4.524552235796796,10800.922000000004,2684.094,4.19569961335811,3.009143898862149,1.1865557144959613,4,9.087402458559964,25.19719428913484,-0.0003784931085755054,0.007415284021562349,122.59074222588771,87.93890936242667,107.15507391143827,-21.13336989654981,Invalid : Charge Ah less than Discharge Ah
4,B0054,1.4821359420074645,1.1475005938755807,1.2847845483441092,6.161737646526188,3.7166899847629,10800.782,2043.562,4.182991590230009,3.238858957669853,0.944132632560156,4,23.964008082806885,17.430513633730094,-0.0016632350154514842,0.005521065813433833,77.42208803879082,60.3188613013776,81.67950359176314,25.47557031967513,Valid
5,B0054,1.182047810287393,1.479731388438291,1.2847845483441092,4.952350952213606,4.454210949980395,10799.594,2638.125,4.195992318124823,3.0138092914620325,1.1821830266627904,4,9.182190162379191,25.233547710436863,-0.0003651664793235149,0.007499477623089478,125.18371723716672,89.94134286847033,105.32781063631838,-23.64830704455524,Invalid : Charge Ah less than Discharge Ah
6,B0054,1.445101772084208,1.1624882341649379,1.2847845483441092,6.051587971266498,3.73264345797486,10801.265,2070.484,4.1944356848622375,3.2108819820229186,0.9835537028393189,4,8.814185911985817,19.626917363964587,6.239332870930493e-05,0.007117814055842681,80.44334707917015,61.680396545465385,82.74632919985457,22.581481436463804,Valid
7,B0054,1.199295576927783,1.3385860947732282,1.2847845483441092,5.017410973177079,4.133470000175419,10800.875,2385.547,4.193924806359409,3.0891313006126384,1.1047935057467702,4,10.126515440234654,22.062136535610342,-0.0004677171693091996,0.006951592904134713,111.61436100700574,82.38252800643238,95.281038039941,-12.534708840086424,Invalid : Charge Ah less than Discharge Ah
8,B0054,1.3286140193790992,1.1414867493097005,1.2847845483441092,5.530281297845979,3.6839401459984953,10799.625,2032.719,4.186356977507431,3.2271734010894613,0.9591835764179701,4,20.54491328783916,18.25998680069788,-0.0014046774055932396,0.006231451236585194,85.9156032271247,66.61397400225147,81.25143597991111,14.029602060029887,Valid
9,B0054,1.1577783861173947,1.1253092862515706,1.2847845483441092,4.846651720422841,3.623172006616333,10799.468999999996,2003.719,4.194847912949361,3.2195511017029905,0.9752968112463702,4,9.220785982700097,19.25874503760401,-0.00025686733593103167,0.0063317238174089175,97.19556866364476,74.75618665457219,80.0999183606484,1.1515176192627052,Valid
10,B0054,1.1296018170452349,1.3097118166054096,1.2847845483441092,4.730136454941914,4.053400345251535,10799.359,2333.672,4.195243222244066,3.0960023277759987,1.0992408944680676,4,8.915776225572854,22.09722485967232,-0.0002605840638641364,0.00711406701923168,115.94455646603852,85.69309540777952,93.22575657001818,-13.125838209369775,Invalid : Charge Ah less than Discharge Ah
