Cycle Pair,Battery ID,Charge_Ah,Discharge_Ah,Initial Discharge_Ah,Charge_Wh,Discharge_Wh,Charge Duration_Sec,Discharge Duration_Sec,Average_Charge_Voltage,Average_Discharge_Voltage,Voltage Hysteresis,Max Charge Temperature,Max Discharge Temperature,Charge_Tempaerature_Rise_Rate,Discharge_Tempaerature_Rise_Rate,Coulombic_Efficiency_Ah,Energy_Efficiency_Wh,SOH,Capacity_Fade,Cycle Status
1,B0036,1.81493798723132,1.798284505626203,1.798284505626203,7.454957667797018,6.219152540805978,10799.593,3241.047,4.151602344467723,3.4589529048512784,0.6926494396164449,26.593328103198346,26.547068220384585,-7.033577343945225e-05,0.00021913148532955965,99.0824214533896,83.42304299956908,95.76974441339566,,Valid
2,B0036,1.8127724050292602,1.8015754720149424,1.798284505626203,7.417357679869088,6.2423385297242415,10799.641000000005,3246.094,4.145611580933648,3.465699776598704,0.6799118043349437,25.55080261730528,26.495839445842005,-9.039853448748769e-05,0.00022818870635097531,99.38233100949387,84.1585211222336,95.94500867716292,-0.1752642637672608,Valid
3,B0036,1.8099774615792865,1.801523679842222,1.798284505626203,7.403124466673476,6.243514204575735,10737.0,3244.438,4.143793096625945,3.4663010083853925,0.6774920882405526,25.29995783127731,26.383869073507284,-8.938206395221137e-05,0.00026874355097766583,99.5329344195431,84.33620470224513,95.94225042443453,0.0027582527283840363,Valid
4,B0036,1.8066464949253047,1.796034946492914,1.798284505626203,7.388179125924609,6.2231160170830915,10675.188,3233.781,4.143160934761993,3.465538699594601,0.6776222351673922,24.99840674559816,26.038513721787695,-8.684503436864192e-05,0.0002487402463740456,99.41263836272356,84.23071383375924,95.64994151092729,0.29230891350724164,Valid
5,B0036,1.793836766318652,1.7900637470136762,1.798284505626203,7.336946182101103,6.191490811443195,10800.015,3222.813,4.145212533666151,3.4592600950503223,0.6859524386158289,24.80194888525516,25.52893924273116,-9.12901072316933e-05,0.00038078484178206105,99.78966763443482,84.38784553916572,95.33193829943386,0.31800321149343347,Valid
6,B0036,1.78564209773663,1.7855943676399342,1.798284505626203,7.3296313141241844,6.1745996555552605,10802.592999999999,3214.828,4.151799855814882,3.4582476347968747,0.693552221018007,24.456011546718287,25.434898613415253,-4.810265649483845e-05,0.000245781282653192,99.99732700652856,84.24161313075625,95.09391627401429,0.23802202541956774,Valid
7,B0036,1.782835675173222,1.7861073263092633,1.798284505626203,7.293427497233614,6.183007909123158,10801.671,3215.547,4.146246897552741,3.462091164852177,0.6841557327005643,24.584307994008807,25.49992828339642,-6.918156526139802e-05,0.00029869548026693275,100.18350828298988,84.77506510441577,95.12123448784675,-0.027318213832458582,Invalid : Charge Ah less than Discharge Ah
8,B0036,1.7802137876402993,1.7863020351102838,1.798284505626203,7.282032770168488,6.182743407311413,10802.656000000003,3216.078,4.1458960615550415,3.4615111451468614,0.6843849164081801,24.7146834652272,25.538807420659257,-7.574279452210777e-05,0.00027642331615572316,100.34199529923058,84.90408657098587,95.13160393275408,-0.010369444907325942,Invalid : Charge Ah less than Discharge Ah
9,B0036,1.7800186543118142,1.7830691775630096,1.798284505626203,7.279501260318635,6.173203443153666,10801.047,3210.297,4.145501295040453,3.4623463822152374,0.6831549128252155,24.70771812464181,25.42021899627584,-8.34557221345598e-05,0.0002650981278113298,100.17137591473022,84.8025602633587,94.95943432329645,0.17216960945762594,Invalid : Charge Ah less than Discharge Ah
10,B0036,1.776121715067875,1.7806317012616542,1.798284505626203,7.263513720900169,6.166501759000088,10801.733999999999,3206.078,4.145672040760107,3.4633543943765894,0.6823176463835172,24.634570712042468,25.3761734466722,-8.124777929718442e-05,0.00029139086369789227,100.25392326187547,84.89695202552564,94.82962367227643,0.12981065102002276,Invalid : Charge Ah less than Discharge Ah
