Cycle ID,Battery ID,total_ah,total_wh,cycle_duration,max_voltage,min_voltage,average_voltage,max_dVdt,min_dVdt,average_dVdt,max_temp,min_temp,average_temp,Rise_temp_per_Sec,max_current,min_current,average_current
1,B0028,1.803995914370752,7.3481778273399625,10800.875,4.200041032574582,3.360004195106717,4.1368196176190875,0.19390428155477948,-0.002055455933462331,0.00013797004947264672,29.583130164671164,26.345540975321345,27.468951290251365,-6.658323080697627e-05,1.5055653101634718,0.0253602704469203,0.6434320150779187
4,B0028,1.809925810031442,7.344242076975425,10802.094,4.200039837498785,3.1487605105510674,4.129083103321676,0.171787653817818,-0.00208013987353285,0.00015567710840282275,31.37124656722368,26.09328233456865,27.485775711810085,-0.0004856589703033557,1.5036822600062183,0.0261722725725394,0.6490284889911172
6,B0028,1.8047123653429447,7.321851147411635,10801.046,4.200343902216926,3.131638882117158,4.129289105212741,0.17073200907881853,-0.0019270684891172015,0.0001580274348026962,31.10349399671159,26.18320489102502,27.376570103122358,-0.00044481304494815686,1.504746450349824,0.0263106924168332,0.6444393738347947
8,B0028,1.796120570872236,7.286245772613611,10580.579,4.200216571383405,3.1792963205865594,4.128113366817124,0.1638878669577325,-0.002054638992306799,0.00015522331663440653,31.354901745436717,26.44038247697329,27.719661545940717,-0.0004638250387894441,1.5031750093588738,0.0255556408915715,0.6550906243815415
10,B0028,1.7929538701515375,7.272881599496733,10698.11,4.200037325118692,3.172827420851588,4.129215693497649,0.15828406604849954,-0.0020123846078889452,0.00015266425224855673,31.51581153889375,26.49642672447407,27.735326019044372,-0.0004674191523769205,1.5030159937202152,0.0256702157405449,0.6448664139254101
13,B0028,1.7905943513988043,7.27997050082624,10764.702999999996,4.200314820159368,3.3375449568562443,4.1342739335059395,0.15777540364816983,-0.0018601842636837475,0.00013491265468703608,29.6379948334367,26.47858232378908,27.44210488202626,-4.651368582710569e-05,1.502001099526505,0.0248018005395365,0.6368005590014802
17,B0028,1.79873494400486,7.301158834104676,10559.562,4.200111045082272,3.2997909156149903,4.129705034731613,0.14734897866824836,-0.0016492945161696822,0.00013918286055393772,30.12441249730174,26.19881919435645,27.301991835556915,-5.965913080873039e-05,1.5032150654111374,0.0256956603461792,0.6549543886008463
20,B0028,1.794162323835264,7.268259985824868,10439.157,4.2005293521324045,3.1601909543994866,4.125793301257905,0.1406980526118184,-0.0018828890388948945,0.00015420954269739802,31.34818118822709,26.775663782405516,27.94763411490421,-0.0004376130826529744,1.504242349217103,0.0252494433377559,0.6589661438820166
21,B0028,0.6867196469415391,2.8591618031838673,6636.500000000003,4.200551423728197,3.994228170005883,4.1823546552186155,0.12174687467616697,-0.0016791602548874996,9.461219597196412e-05,31.17306504233793,26.67711254331844,28.12381150662134,-0.000543232831032433,1.5015537780729462,0.0232883904481239,0.3986860680852913
23,B0028,1.7874802177992781,7.241762886240798,10441.265,4.200105824363631,3.1628838289972343,4.126139745548259,0.1368749383022946,-0.0016290139680688557,0.00015418512311224136,31.215341053164558,26.41422017267475,27.70921889804909,-0.0004585040313603926,1.5040791616366247,0.0235111384383083,0.6556773693500793
25,B0028,1.7859200241853466,7.235830135679816,10467.375,4.200074415871439,3.149836169700634,4.127234675313479,0.1344659439754512,-0.0016673589541793957,0.00015331925065623761,31.30113117433724,26.71571443643469,27.78111450278798,-0.0004375466970328265,1.5062533442257806,0.023653900008924,0.6487817696799765
28,B0028,1.785350066777919,7.247327633546358,10555.125,4.200001194630109,3.318497358498701,4.131116038661918,0.13441225286670944,-0.0016283197655395068,0.00013546755923711702,30.647934635998983,26.53165383481461,27.863641643497697,-8.222473583281177e-05,1.5042450850998532,0.0243882052669977,0.6449033009985667
32,B0028,1.786796921561971,7.253899349601138,10660.703,4.200116152986351,3.3092500384574928,4.131800873626321,0.13080178381241153,-0.0015162769510294399,0.0001346656648530964,30.047035050693896,26.029037318845763,27.24352406477544,-7.047823530443263e-06,1.5069699183911651,0.0213107728639413,0.6389554667627612
35,B0028,1.7834722884659095,7.222798815134221,10413.516,4.200512619287304,3.1017361725083075,4.12616179507499,0.127318450542419,-0.0014984428719008907,0.00015918795932747624,31.532681351037795,26.883172802698773,28.07544583963166,-0.00044561358957424785,1.5027231290680874,0.0245610167309976,0.6522433910952973
37,B0028,1.7812428907468745,7.213321232086097,10491.389999999992,4.200044677797561,3.096308559980162,4.126659529382152,0.12415160480188286,-0.0014177163695114163,0.00015801020100919972,31.876849763383373,26.86472295170766,28.137459106759792,-0.0004775999201781285,1.5036989435099106,0.024626583083064,0.6458584436294316
39,B0028,1.7769677695244166,7.196883329349657,10470.0,4.200099848794508,3.0881296382639927,4.127054956165771,0.12322128844934431,-0.0014710009763456613,0.00015937140469037954,31.794104742977165,26.731107333606992,28.005912265882365,-0.0004825470267904415,1.5033882162220211,0.024266834176612,0.645177293919881
41,B0028,1.7721832717692856,7.178922449514731,10579.625,4.200294032498383,3.09198807041025,4.1286448116635075,0.12104565618537144,-0.0014819074050502626,0.00015579917608577045,31.61510155261628,26.777447887687117,27.929026034778804,-0.00045638769720853287,1.5032817147724955,0.0241526078393431,0.6330743225091184
