Cycle ID,Battery ID,total_ah,total_wh,cycle_duration,max_voltage,min_voltage,average_voltage,max_dVdt,min_dVdt,average_dVdt,Ambient_Temperature,max_temp,min_temp,average_temp,Rise_temp_per_Sec,max_current,min_current,average_current
2,B0056,1.5428285231975252,6.4548560528212375,10799.796999999999,4.2000765325395655,3.9992902107952766,4.186682013924381,0.12926582440506784,-0.0038180446278396965,5.5368411339331916e-05,4,8.180605177953623,3.3958795956948933,6.2023145423284705,1.0199155360643917e-05,1.503510303407181,0.074500413636277,0.5338067394070494
5,B0056,1.3862767435487866,5.78954487117782,10802.109,4.200171515827078,3.963636690955348,4.184198709014016,0.09925017558337935,-0.0033095524600444525,5.246664433097855e-05,4,8.831570601885788,3.570939992619111,6.28351755514028,-0.000240174048535372,1.501402267073353,0.0511021966423356,0.4781719800204323
7,B0056,1.325239652203614,5.538111759757479,10800.922000000004,4.200004055788061,3.966443026172531,4.185411686252099,0.09534924372498318,-0.003343526722651884,5.0885397774934476e-05,4,8.366575790143445,3.6258933720692887,6.205550295518115,-0.000270820596937607,1.5012298149286731,0.0321739857758003,0.4567426648308505
9,B0056,1.2991181909188654,5.423817783629836,10800.782,4.200045813547522,3.96630816522329,4.184001666513761,0.09182153222674161,-0.003263973798845729,5.053820547946998e-05,4,8.91653061236999,3.6444911200623418,6.266106105104513,-0.00026160852641947787,1.500336569004945,0.0337667562448947,0.4489686495064801
11,B0056,1.2661457714331683,5.291029336027774,10799.594,4.200048816829057,3.975862414447267,4.185503281650819,0.09100494176536378,-0.0031624642311457456,4.987697200756272e-05,4,8.828673633031244,3.6599979752645178,6.200550377997311,-0.0003375000519124159,1.5008804159759972,0.0325124385988375,0.43633436167806977
14,B0056,1.255485666226525,5.255915058242087,10801.265,4.200068688352708,4.037077806073513,4.1879720625908305,0.10188004944302474,-0.0032033007827857083,4.6432614314823185e-05,4,8.214949326737132,3.669274279348042,6.129485708548752,0.00014866537986599042,1.499545280192815,0.033268469232355,0.4278256938211728
17,B0056,1.2832380205255955,5.351626075610176,10800.875,4.2001243930183545,3.9437860111057375,4.182721672287921,0.0792096603983228,-0.0029311555566080743,5.008299159220034e-05,4,9.769197702391905,3.420183311065162,6.276060861440032,-0.0004335937119645688,1.501970625939714,0.0328004732587089,0.4425207789987365
19,B0056,1.258161245103034,5.245319958564268,10799.625,4.2001687898961535,3.937379520408825,4.182344769550004,0.0773861937428871,-0.0029414562184263415,5.0852783653307915e-05,4,10.291842204886311,3.455136898898906,6.293624160444481,-0.0004471181642092948,1.500714892680732,0.0329616377898813,0.4358192997518434
21,B0056,1.222972573312771,5.1071879461842915,10799.468999999996,4.200221864547525,3.9785834155381408,4.184661948212183,0.08386917746544634,-0.0027227737939435033,4.8718715857957246e-05,4,8.323732630931694,3.637352689702156,6.2504439386948265,-0.0001690239709735297,1.5017402990825872,0.0329337746422293,0.4204191535010458
23,B0056,1.2284822815926033,5.130549425245082,10799.359,4.200029830260609,3.976107246741043,4.184813324617008,0.08030923253969532,-0.002750841398602091,4.8273383473339715e-05,4,8.404020731628524,3.6244250422925406,6.227733242321402,-0.00016095416906053336,1.501489686379013,0.0294566421274014,0.4233082706147219
26,B0056,1.2234977485586298,5.11827591804954,10799.61,4.200203145784291,4.030515457658042,4.1869663265582115,0.08918940670517164,-0.002785676440578277,4.584655309701073e-05,4,8.071552505671772,3.595038010236545,6.137568646795863,4.0892184645707094e-06,1.501312698928466,0.0308944029367588,0.4180511291783309
29,B0056,1.2165929906975188,5.080349817235034,10801.719000000001,4.200062208161825,3.972404579108471,4.184675564073881,0.07790357940593612,-0.002654343260669491,4.815178378886768e-05,4,8.768596651850494,3.472289526069896,6.209633993978283,-0.00046862890379810045,1.5000709844613074,0.030334558688965,0.4167574755528856
31,B0056,1.2293222623437223,5.129810681803651,10800.703,4.200305330643934,3.965180596835636,4.183843355814341,0.07510115386009318,-0.002744738410564914,4.859724674580961e-05,4,8.644531867407032,3.594928720897807,6.253488241672763,-0.0002429518202615107,1.501854212586769,0.030640781480985,0.42407220703974446
33,B0056,1.1936935919154537,4.9841473869016575,10801.032000000001,4.200084324715144,3.975120461671977,4.1847381622559405,0.0735722431131252,-0.0025875900741339883,4.752975720054648e-05,4,8.62480311779888,3.5217311444750736,6.174221764867296,-0.0002223894280377083,1.5016766339413934,0.0314623624482737,0.41010414548528346
35,B0056,1.186319382244237,4.9540645150279214,10799.593999999997,4.200155559104861,3.973150188432315,4.18495431130195,0.07272964340463908,-0.0025657198514272422,4.758155845687655e-05,4,8.894375869839203,3.5237814933013216,6.173805434509983,-0.00023436890760215382,1.501209152818491,0.0321346304680311,0.40684514220167584
38,B0056,1.1877352681586575,4.967665691260785,10801.593,4.200325539251724,4.038678265544056,4.186924823754172,0.08096292899672497,-0.0025526642787727237,4.387098744142219e-05,4,7.963118493184095,3.462048595297422,6.100262674059313,-5.1521604382626084e-06,1.500678823638098,0.0312804463295222,0.4074597296852175
41,B0056,1.2149709901413857,5.069329793965122,10802.094,4.2000699082301205,3.961956987051355,4.183631089894694,0.06803260030247606,-0.002521689400074152,4.782619442395842e-05,4,8.49948627184228,3.4587067096507806,6.226152679642433,-0.0003387483531171376,1.5027357277445772,0.0312988528590094,0.42049165246155723
43,B0056,1.2089202425233776,5.043421754941683,10801.078000000001,4.200099042398698,3.9598556404143497,4.183615246915277,0.06822306350158026,-0.002411993424774447,4.7985725807740944e-05,4,8.754681428270157,3.51669861027424,6.225355081659065,-0.0003127855675326558,1.501483608110293,0.0311985656706181,0.41642103150643045
45,B0056,1.2017614276902377,5.013314386257286,10290.687000000002,4.200613711311212,3.960709769173057,4.183478954905874,0.06737181652513775,-0.002326340842001312,4.993014622932679e-05,4,8.899353270360125,3.51234387486627,6.243574717466838,-0.0004043903907613855,1.5009466225717265,0.0272611972634209,0.43179476729863736
47,B0056,1.1699865866167478,4.884323481778486,10802.531,4.200095348223752,3.9740549953227537,4.184663271258582,0.06632916584188808,-0.0024451597831944075,4.662742488724944e-05,4,8.602765424014077,3.6130361281911783,6.179652689681828,-0.00019411984473474955,1.502314864940882,0.0306549270497666,0.4015016353393038
50,B0056,1.1746391646270435,4.912590496254838,10800.64,4.200472195519763,4.0343929239198,4.186950582812035,0.06966183703867243,-0.002224604325821424,4.177431026166559e-05,4,7.901723463258377,3.477056394187486,6.062179824185208,3.581815731732592e-06,1.5001009883740408,0.0321238186959467,0.3922315711810856
54,B0056,1.298054960088618,5.424878487101571,10800.265,4.200035575993203,4.006227876335775,4.185713013484268,0.07447779217490996,-0.002353865407362231,4.6524041126254167e-05,4,8.26070257745155,3.3999485782655388,6.101455598704571,0.00026712627818873606,1.5014831462596276,0.032687803734173,0.44651188443928913
57,B0056,1.2628652484730538,5.2654506783888495,10800.968999999996,4.200266979304606,3.9492060438527496,4.182744726130482,0.06217104399268793,-0.0023203129637199404,4.8286191486626704e-05,4,8.905172274288645,3.453550064444435,6.1734826789642225,-0.0002999763021646875,1.5007308924519842,0.0307673958236267,0.43327823137543653
59,B0056,1.2402895103361005,5.170987820123354,10803.375,4.2001715839681175,3.953310521910247,4.182695556268421,0.06216507016692347,-0.002188942371942489,4.816048860356234e-05,4,8.737323740850643,3.4832877287948727,6.189680274493338,-0.00030853122087424627,1.5030130506626176,0.0317446360981351,0.42705486978018914
61,B0056,1.2501675109861026,5.210094580323922,10801.5,4.200403585693397,3.945012404264176,4.182097610879786,0.06067919759377273,-0.00221350744931204,4.8449152623233885e-05,4,9.087067737540467,3.363664905158763,6.246436208733381,-0.00043656014989429187,1.5022014453315196,0.030055946194114,0.4298774153048802
63,B0056,1.2283506179027073,5.123751668291998,10800.765,4.200217361895961,3.9505224259579848,4.183494105855008,0.05992185726290314,-0.0022144167452889576,4.760925507298574e-05,4,8.319379926269164,3.2515784305961053,6.163688574914325,-6.373680286683304e-05,1.500554096928587,0.0323781004092756,0.4212217535330433
66,B0056,1.1896276627832414,4.973826106736076,10801.937,4.200114927473067,4.032838390292379,4.186349196714412,0.06998848311147532,-0.0021147837771005964,4.3607809353534365e-05,4,8.209718563382063,3.3514959798403154,6.123784267420352,-8.718747815253271e-05,1.5012380028291197,0.0328446379734201,0.4067087417916604
69,B0056,1.189009452070059,4.960020067202193,10803.141,4.20001695334817,3.961150271212442,4.183777179252736,0.059118163182952356,-0.0020905432381592703,4.701100646299788e-05,4,8.784571430478467,3.4562089954839403,6.15884993813432,-0.00025493598825670664,1.5012074221018967,0.0305627861589618,0.40723298595915797
