Cycle ID,Battery ID,total_ah,total_wh,cycle_duration,max_voltage,min_voltage,average_voltage,max_dVdt,min_dVdt,average_dVdt,Ambient_Temperature,max_temp,min_temp,average_temp,Rise_temp_per_Sec,max_current,min_current,average_current
1,B0025,1.9157954734701597,7.811779342053312,10800.875,4.2096305498403,3.371465914735464,4.144656181129641,0.23057034717037964,-0.0006242959783854247,0.0001476227359231948,24,30.02498708812653,26.45048705363719,27.602230003159463,-4.58848010366717e-05,1.5164026036427365,0.0308506530166995,0.6795181248606572
4,B0025,1.9059900380153498,7.767420808339422,10802.094,4.208944158015746,3.446833732658047,4.143364811389553,0.20789469368749047,-0.00044255146257864337,0.00013521004780059584,24,30.000531528748443,26.19282437213984,27.385996878314764,-8.18069830197129e-05,1.515979930257475,0.0215348782221236,0.6800897305097624
6,B0025,1.9038190582711114,7.757547876900139,10801.046,4.2088130126705305,3.4517697304065016,4.143582934132688,0.20508128594957278,-0.0005194285636878423,0.00013500336176830883,24,29.75204112376427,26.31571820658764,27.273367815587754,-4.428368257585201e-05,1.5178306076129433,0.0223970196446572,0.6765381351483823
8,B0025,1.902648863194118,7.751908721820493,10802.563,4.209644808648599,3.452725952698232,4.143383660058931,0.2017292829149257,-0.0006163694249664309,0.0001351292087351298,24,30.02296835105506,26.53652722841833,27.599935646223184,-6.59389147258997e-05,1.5155938582740902,0.0214949901865246,0.6761781357882203
10,B0025,1.8898933560423874,7.697563565497935,10411.516,4.208974616077092,3.477321125393765,4.141385758497804,0.19248956384735524,-0.0007586173139798635,0.00013512974899514054,24,30.000352076100203,26.59861497415654,27.645240347363213,-7.266247161754702e-05,1.5154337364600463,0.0253144836783474,0.6945634256672675
13,B0025,1.8946286819079978,7.721232309882866,10709.641,4.209673673052839,3.4713870349859013,4.14450242643096,0.19066602977474684,-0.0004073923629822874,0.0001324263213409672,24,30.01810832008208,26.46617432644692,27.57329501247195,-2.569839443879246e-05,1.514260487642175,0.0204129739989605,0.6739953086813286
17,B0025,1.892798338449873,7.707790361991243,10755.64,4.209650681540367,3.466906941871515,4.143079535736655,0.1780134057607392,-0.0004196764969735529,0.00012950068535324736,24,30.41932749961281,26.267744335118262,27.401158745849497,-3.612902829007964e-05,1.516257588856276,0.0206272554811599,0.6735144892107259
20,B0025,1.8963136200155857,7.715773831207344,10509.86,4.209932436954019,3.435085222864901,4.140232519312882,0.17581275268834426,-0.0005173613972428581,0.00013607331141344658,24,30.79240400263001,26.8408375903496,27.848142116926603,-4.15828520699888e-05,1.5158400244029475,0.0222004184431053,0.6886816425574506
21,B0025,1.3874089575326012,5.695505833918288,8639.702999999996,4.209574665474155,3.81681182015018,4.163342163839393,0.15884434920008053,-0.0005101400985397321,0.0001108243335169451,24,36.72261855920218,26.590045196598723,28.74170297805214,-0.0011721747400997074,1.5146595269791274,0.022767348745067,0.6017201750467264
23,B0025,1.8853079702018025,7.669892363665763,10417.484,4.209690155019596,3.457774917502864,4.139692076079277,0.1687033349311337,-0.0004436993327495137,0.0001343848016535631,24,30.56346654181748,26.499528112338467,27.588002862830837,-6.624239277400056e-05,1.5158664072846215,0.0226780499778207,0.6900510584693853
